Job Title,Experience Level,Salary,Location
Cloud Architect,70,63,Remote
UI/UX Designer,27,21,Remote
Network Engineer,77,59,Remote
DevOps Engineer,94,63,Austin
Database Administrator,51,92,San Francisco
QA Engineer,82,71,Remote
Cloud Architect,15,10,Austin
Scrum Master,68,100,San Francisco
DevOps Engineer,98,13,Remote
DevOps Engineer,11,59,Austin
QA Engineer,24,29,Remote
Machine Learning Engineer,51,34,Remote
Database Administrator,84,84,San Francisco
BI Developer,99,36,Remote
QA Engineer,52,4,Remote
Data Analyst,22,82,New York
Frontend Developer,15,77,Austin
Software Engineer,56,25,Remote
Data Analyst,38,61,New York
QA Engineer,52,3,Remote
Data Scientist,41,88,New York
Frontend Developer,57,41,New York
Frontend Developer,38,88,San Francisco
IT Manager,13,17,Remote
Systems Analyst,94,39,Remote
Security Analyst,4,71,Remote
Network Engineer,34,38,Remote
Network Engineer,86,13,Remote
Scrum Master,92,31,Remote
Frontend Developer,74,50,Austin
UI/UX Designer,17,37,Remote
BI Developer,75,96,San Francisco
Data Engineer,8,22,Remote
Scrum Master,73,62,Austin
Cloud Architect,57,14,Austin
QA Engineer,16,96,San Francisco
Business Analyst,6,24,Remote
Cloud Architect,45,16,Austin
Technical Lead,12,96,New York
Machine Learning Engineer,39,65,New York
Full Stack Developer,41,77,Remote
Technical Lead,8,52,New York
Business Analyst,49,50,Austin
QA Engineer,26,38,Austin
Data Analyst,65,50,New York
UI/UX Designer,4,69,Remote
Network Engineer,28,5,Austin
Cloud Architect,36,66,Austin
Frontend Developer,37,6,Remote
Database Administrator,82,50,Austin
Network Engineer,7,71,Austin
BI Developer,64,41,Austin
Full Stack Developer,85,63,New York
IT Manager,16,14,Remote
Machine Learning Engineer,70,28,Austin
Technical Lead,88,32,Remote
Database Administrator,44,93,San Francisco
Machine Learning Engineer,3,26,Remote
Data Analyst,35,35,Remote
Software Engineer,69,28,Remote
Systems Analyst,30,37,Remote
Machine Learning Engineer,18,56,Austin
Technical Lead,60,96,San Francisco
Frontend Developer,53,100,San Francisco
Data Analyst,38,26,Remote
Systems Analyst,90,54,New York
Machine Learning Engineer,73,32,Remote
Full Stack Developer,89,67,Remote
Security Analyst,18,85,San Francisco
Network Engineer,38,65,New York
Database Administrator,66,9,Remote
Full Stack Developer,44,4,Remote
Database Administrator,12,73,Austin
QA Engineer,91,96,San Francisco
Security Analyst,57,37,Remote
Backend Developer,19,12,Remote
Technical Lead,91,30,Austin
Network Engineer,71,46,New York
QA Engineer,60,99,San Francisco
Backend Developer,38,87,San Francisco
Business Analyst,0,51,Remote
Network Engineer,2,55,Remote
Backend Developer,76,14,Remote
Data Scientist,91,28,Remote
Cloud Architect,61,7,Remote
Business Analyst,62,4,Austin
Data Scientist,24,28,Remote
Frontend Developer,55,46,Remote
Database Administrator,32,67,Austin
DevOps Engineer,37,75,Austin
Scrum Master,5,44,New York
IT Manager,57,1,Remote
Database Administrator,43,26,Remote
BI Developer,44,94,San Francisco
BI Developer,31,35,Remote
Data Scientist,44,35,Remote
Data Engineer,60,25,Austin
Systems Analyst,46,42,New York
Cloud Architect,20,26,Austin
Business Analyst,79,68,Austin
Cloud Architect,84,19,Remote
Business Analyst,74,10,Austin
Database Administrator,100,73,Remote
Frontend Developer,35,37,Austin
Data Analyst,98,5,Remote
Data Scientist,18,71,Remote
Security Analyst,19,22,Remote
Data Engineer,56,46,Austin
BI Developer,17,89,San Francisco
Frontend Developer,46,45,Remote
Database Administrator,48,11,Austin
BI Developer,13,89,New York
Data Scientist,14,12,Remote
BI Developer,30,61,New York
Data Engineer,0,81,New York
Network Engineer,53,88,New York
Full Stack Developer,2,96,San Francisco
BI Developer,15,59,New York
Data Scientist,86,42,Remote
Data Engineer,56,75,New York
Full Stack Developer,74,99,San Francisco
Cloud Architect,11,67,Austin
Business Analyst,73,4,Remote
Network Engineer,95,36,Austin
Network Engineer,15,71,New York
Systems Analyst,71,91,San Francisco
Backend Developer,75,30,Remote
Scrum Master,23,8,Austin
Cloud Architect,27,50,New York
IT Manager,7,28,Remote
UI/UX Designer,91,77,Austin
Machine Learning Engineer,35,39,Remote
Data Engineer,89,40,Remote
Cloud Architect,7,85,New York
Backend Developer,57,10,Remote
Network Engineer,59,22,Remote
DevOps Engineer,49,0,Remote
Machine Learning Engineer,27,45,Remote
Backend Developer,91,100,New York
Cloud Architect,100,20,Austin
Scrum Master,40,89,New York
Data Analyst,99,35,Remote
Systems Analyst,63,53,New York
Backend Developer,26,86,San Francisco
QA Engineer,62,56,Austin
Software Engineer,16,0,Remote
Frontend Developer,72,62,New York
Frontend Developer,32,53,Austin
UI/UX Designer,83,54,Austin
DevOps Engineer,76,39,Remote
Cloud Architect,91,14,Austin
Data Scientist,28,20,Austin
Data Scientist,12,46,New York
UI/UX Designer,45,72,Austin
Backend Developer,34,52,Austin
Business Analyst,5,8,Remote
BI Developer,81,73,New York
Cloud Architect,68,51,New York
Software Engineer,46,56,Austin
Database Administrator,24,25,Austin
Business Analyst,65,40,Remote
Data Engineer,9,34,Remote
Data Scientist,55,62,Remote
Scrum Master,29,24,Remote
Systems Analyst,4,89,New York
Frontend Developer,32,74,New York
Network Engineer,64,37,Austin
Business Analyst,17,1,Remote
UI/UX Designer,95,6,Austin
IT Manager,48,81,New York
IT Manager,10,90,New York
UI/UX Designer,84,33,Remote
Frontend Developer,25,90,San Francisco
Cloud Architect,62,16,Austin
Data Analyst,88,42,New York
BI Developer,85,58,Austin
IT Manager,58,50,Remote
Data Engineer,26,53,Austin
IT Manager,48,23,Remote
IT Manager,76,24,Austin
IT Manager,32,70,Austin
Data Analyst,97,51,New York
Data Analyst,98,69,New York
Data Engineer,0,87,San Francisco
Data Scientist,20,32,Austin
Data Scientist,54,48,New York
Scrum Master,5,28,Austin
Data Analyst,91,62,Austin
QA Engineer,80,21,Austin
Frontend Developer,68,25,Austin
Software Engineer,94,27,Austin
Machine Learning Engineer,4,84,San Francisco
DevOps Engineer,2,48,Remote
IT Manager,52,70,Remote
Software Engineer,22,80,Austin
Data Engineer,100,83,San Francisco
